bootstrap_iteration,sample_size,silhouette_score,mean_kl_divergence
1,7962,0.03225103,0.02647643895349984
2,7962,0.0416356,0.026706942007434637
3,7962,0.034973934,0.027246845102970752
4,7962,0.036873642,0.02646538880078188
5,7962,0.036705796,0.026599023502405717
6,7962,0.041845035,0.026833099569224497
7,7962,0.037979882,0.02702784434122167
8,7962,0.037604406,0.02670493960561565
9,7962,0.04262334,0.02680067888124156
10,7962,0.036169738,0.026858807351149587
11,7962,0.044248037,0.027336226200660275
12,7962,0.023672728,0.026978903564254347
13,7962,0.054871332,0.02622183464174992
14,7962,0.040480975,0.026472249156379378
15,7962,0.037393473,0.02613234239819518
16,7962,0.052392542,0.026823006042701627
17,7962,0.03815294,0.026908263301631825
18,7962,0.039140143,0.026967451312589295
19,7962,0.03871727,0.02623283498278052
20,7962,0.028579166,0.0266162916870822
21,7962,0.042383175,0.026276696617695626
22,7962,0.040149737,0.026271392102383568
23,7962,0.031142648,0.026894429309837677
24,7962,0.030261597,0.026300492976374594
25,7962,0.026163734,0.027098314445123225
26,7962,0.043046467,0.0265813899202533
27,7962,0.031198626,0.02730715797395686
28,7962,0.03851048,0.02676315237159604
29,7962,0.04739859,0.027043340203355425
30,7962,0.040604327,0.026252743889593838
31,7962,0.048079565,0.026703517240230863
32,7962,0.03634617,0.026476268372582965
33,7962,0.047968697,0.02700934110440868
34,7962,0.040935937,0.027444507985859408
35,7962,0.041664325,0.02652027724625256
36,7962,0.026468806,0.026852205057485316
37,7962,0.042989776,0.026774209510061528
38,7962,0.03724821,0.02664721210888801
39,7962,0.0417373,0.027020258137125504
40,7962,0.039291378,0.027078483642385333
41,7962,0.052543197,0.02618364910143489
42,7962,0.026738867,0.026532431796998907
43,7962,0.02138191,0.026655535076806073
44,7962,0.05418758,0.026407432800934365
45,7962,0.015022964,0.026668108836776824
46,7962,0.04334368,0.02613595507103881
47,7962,0.025514685,0.02698164675902073
48,7962,0.03077373,0.026407155725353237
49,7962,0.04549828,0.026461392583677613
50,7962,0.035199028,0.026202428481330718
51,7962,0.04288454,0.027196492716452858
52,7962,0.034750678,0.0272323385607813
53,7962,0.020109855,0.026778498314052955
54,7962,0.031324584,0.026802344785847095
55,7962,0.029124524,0.026749380032932413
56,7962,0.043638106,0.02715663437105159
57,7962,0.03502479,0.026563908242016317
58,7962,0.03684672,0.02703982922307012
59,7962,0.051126722,0.02731983338751937
60,7962,0.039551318,0.02710580179379906
61,7962,0.045618556,0.025845543390581392
62,7962,0.047842454,0.026625896733899212
63,7962,0.029065492,0.026574072236069567
64,7962,0.055128317,0.026593018168210737
65,7962,0.03508469,0.02741537465572727
66,7962,0.042252935,0.02667693344387998
67,7962,0.037331674,0.026640297959318576
68,7962,0.03597918,0.026648321336361455
69,7962,0.04605959,0.026781042965090963
70,7962,0.043335468,0.026047657932591645
71,7962,0.03218224,0.02680612506835512
72,7962,0.048418477,0.027009648935739934
73,7962,0.030696198,0.027261555218239215
74,7962,0.023805954,0.026111385527948894
75,7962,0.05338188,0.026697263234453542
76,7962,0.051565614,0.027188226551382654
77,7962,0.050826937,0.026355489553772243
78,7962,0.050065715,0.026188607951557592
79,7962,0.030412963,0.02596493298250621
80,7962,0.039396904,0.02651004308878927
81,7962,0.032718968,0.027371706933318352
82,7962,0.04667848,0.026504025865013478
83,7962,0.037801605,0.026689816164442198
84,7962,0.047759786,0.027017373643934382
85,7962,0.023259826,0.026140518597303587
86,7962,0.048413362,0.026623923979866702
87,7962,0.039939526,0.02674507664008962
88,7962,0.03636096,0.02636558238228046
89,7962,0.040860694,0.026358877743730955
90,7962,0.017671881,0.0268245584200879
91,7962,0.036227997,0.027042152276922648
92,7962,0.04631866,0.026804018831329653
93,7962,0.03863156,0.026804321869063192
94,7962,0.0345873,0.026590897476212332
95,7962,0.04194556,0.026601441845151765
96,7962,0.03452501,0.026491404423287554
97,7962,0.053173967,0.026482161797179656
98,7962,0.0481407,0.02684872225765164
99,7962,0.0422447,0.026114714487576532
100,7962,0.025678918,0.02666320176643449
101,7962,0.05847672,0.026921045105991078
