bootstrap_iteration,sample_size,silhouette_score,mean_kl_divergence
1,7962,0.096764445,0.11359555084563391
2,7962,0.112184376,0.1115405615498187
3,7962,0.082405075,0.111997206819537
4,7962,0.093220145,0.11221117775934086
5,7962,0.093954876,0.11382429412769308
6,7962,0.11251515,0.11072659510126776
7,7962,0.099392414,0.11134475602606889
8,7962,0.10002357,0.11123888675284013
9,7962,0.10015165,0.11232458207788536
10,7962,0.10078641,0.10925681168755198
11,7962,0.106366135,0.11246817760594872
12,7962,0.11887479,0.11101281223468706
13,7962,0.119915806,0.10919869520454173
14,7962,0.116501845,0.10794991520918866
15,7962,0.12033881,0.11130521701204124
16,7962,0.10162311,0.11044877687795086
17,7962,0.10648584,0.11138470599821529
18,7962,0.11754468,0.11272709718563459
19,7962,0.11029577,0.11296433103465192
20,7962,0.10002958,0.10994235309522328
21,7962,0.10650546,0.10882120648097028
22,7962,0.10479793,0.11181793153731237
23,7962,0.092978634,0.10912830678899504
24,7962,0.10152977,0.1108275583547763
25,7962,0.09663427,0.11190407816513866
26,7962,0.093023494,0.11408086136169866
27,7962,0.122807406,0.11042487008187044
28,7962,0.09263484,0.11271420948158792
29,7962,0.09563523,0.11403452074326072
30,7962,0.11399306,0.11180514953952317
31,7962,0.10542136,0.1101935797323809
32,7962,0.104743384,0.11057365267080527
33,7962,0.1052387,0.1123960726295642
34,7962,0.10078474,0.11271594652834921
35,7962,0.10968438,0.11138197716028092
36,7962,0.1038161,0.11140905245856944
37,7962,0.11011006,0.113223501446009
38,7962,0.108517274,0.11063905442543347
39,7962,0.11183257,0.11111299672925273
40,7962,0.10981985,0.11427069701355194
41,7962,0.108925015,0.1118474104907715
42,7962,0.091757126,0.11076182304940568
43,7962,0.09690429,0.11166162822089158
44,7962,0.11587794,0.11206270724085463
45,7962,0.08348546,0.11067796972454123
46,7962,0.101251684,0.11285849927910745
47,7962,0.10140919,0.11029785668139432
48,7962,0.11146183,0.11364363612945945
49,7962,0.10581951,0.10943183956262727
50,7962,0.11779641,0.11108221236869138
51,7962,0.10370095,0.11286893699283164
52,7962,0.10558846,0.10991681409656658
53,7962,0.0928123,0.11187187501927774
54,7962,0.0831645,0.11032602009169849
55,7962,0.10539973,0.11298693022536065
56,7962,0.096143305,0.10854233779701242
57,7962,0.111343,0.11251111462593687
58,7962,0.10506246,0.11026265632478152
59,7962,0.102773055,0.11173996949947815
60,7962,0.09906472,0.11264202315727084
61,7962,0.12318052,0.11068644131838601
62,7962,0.107149914,0.11141641906713125
63,7962,0.101580024,0.11354647996268388
64,7962,0.10919978,0.11134015948276303
65,7962,0.105212994,0.11011564093355412
66,7962,0.098324865,0.11191408664481976
67,7962,0.10518674,0.11202817892971553
68,7962,0.09384814,0.11221003128353134
69,7962,0.110324085,0.1136471514084823
70,7962,0.11859341,0.11025764605587815
71,7962,0.11225121,0.11011675054104626
72,7962,0.098117225,0.110486291777377
73,7962,0.10408989,0.11477503709308465
74,7962,0.09652624,0.11063505430360611
75,7962,0.11550058,0.11187918492355206
76,7962,0.11352312,0.1079071142088714
77,7962,0.10765945,0.1104201366574832
78,7962,0.12822555,0.11297883803000003
79,7962,0.097944625,0.11097101708797545
80,7962,0.10107146,0.10984534137853547
81,7962,0.1070044,0.11142378867883268
82,7962,0.11794433,0.1123348617792597
83,7962,0.10599542,0.11200558978223844
84,7962,0.103883415,0.1086773857161778
85,7962,0.10179529,0.11200184491465381
86,7962,0.108259626,0.10773965512772685
87,7962,0.11365668,0.11197222732271639
88,7962,0.11325428,0.11081620872181384
89,7962,0.10343674,0.11046481819023077
90,7962,0.09135182,0.11269676527819782
91,7962,0.09362577,0.11101330564911267
92,7962,0.10981211,0.11054810878546026
93,7962,0.11026885,0.11130968174205876
94,7962,0.10367552,0.11236541489898785
95,7962,0.10519858,0.11133996930408357
96,7962,0.0953327,0.11207038060538689
97,7962,0.103362635,0.1123467026475493
98,7962,0.09905348,0.11262767442441378
99,7962,0.09946804,0.11071789153721515
100,7962,0.1066351,0.11279864828903761
101,7962,0.11634237,0.1114942611832605
102,7962,0.090587884,0.11014454194211679
103,7962,0.09591258,0.11218081084135126
104,7962,0.10028999,0.11029619235811199
105,7962,0.092673905,0.11187271724437155
106,7962,0.09702552,0.11002515606920342
107,7962,0.10506077,0.10992055178621948
108,7962,0.091992095,0.11322947248457763
109,7962,0.09534598,0.11191683731423185
110,7962,0.1124673,0.11233753077968898
111,7962,0.08825912,0.11159866629033652
